month,year,destinationProvinceNameEn,originProvinceNameEn,visitPurposeEn,trips,spendSAR,nights
2,2018,Eastern,Hail,Business,1078.74,1618103.98,3236.21
2,2018,Eastern,Jazan,Leisure,1532.98,4598929.09,3065.95
2,2018,Eastern,Jouf,Leisure,1312.16,962248.18,5248.63
2,2018,Eastern,Jouf,Other,874.77,1968234.91,3499.08
2,2018,Eastern,Jouf,VFR,372.76,354121.86,1118.28
2,2018,Eastern,Madinah,Leisure,6533.05,8166318.7,26132.22
2,2018,Eastern,Makkah,Business,2262.89,4902930.4,52800.79
2,2018,Eastern,Makkah,Leisure,29299.97,3.659798657E7,280996.79
2,2018,Eastern,Makkah,VFR,9051.56,9805860.8,119178.92
2,2018,Eastern,Najran,Other,822.52,2467556.41,5757.63
2,2018,Eastern,Northern Borders,Leisure,3630.08,4764482.46,9982.73
2,2018,Eastern,Northern Borders,VFR,2667.46,2192632.54,6696.2
2,2018,Eastern,Riyadh,Leisure,80257.75,5.042157115E7,285848.95
2,2018,Eastern,Riyadh,Other,4419.19,2.209593665E7,61868.62
2,2018,Eastern,Riyadh,VFR,49688.57,3.248802763E7,378914.63
2,2018,Eastern,Tabuk,Leisure,8744.39,9556373.16,34977.57
2,2018,Eastern,Tabuk,VFR,3747.6,1873798.66,7495.19
2,2018,Hail,Alqassim,Business,1675.83,335166.29,3351.66
2,2018,Hail,Alqassim,VFR,837.92,418957.87,1675.83
2,2018,Hail,Aseer,Leisure,5402.13,9453728.31,37814.91
2,2018,Hail,Aseer,VFR,13505.33,4.051597849E7,162063.91
2,2018,Hail,Jouf,Leisure,874.77,1421502.99,1749.54
2,2018,Hail,Jouf,VFR,874.77,831032.52,1749.54
2,2018,Hail,Madinah,VFR,2449.9,2449895.61,17149.27
2,2018,Hail,Makkah,Business,754.3,754296.98,1508.59
2,2018,Hail,Makkah,Leisure,536.32,107263.82,1608.96
2,2018,Hail,Makkah,VFR,4525.78,1508593.97,22628.91
2,2018,Hail,Northern Borders,VFR,2268.8,4492226.32,6352.64
2,2018,Hail,Riyadh,Business,1117.59,167639.25,2235.19
2,2018,Hail,Riyadh,Leisure,3535.35,1767674.93,10606.05
2,2018,Hail,Tabuk,VFR,6246.0,1.561498882E7,37475.97
2,2018,Jazan,Albaha,Leisure,8324.17,1.070250169E7,41620.84
2,2018,Jazan,Aseer,Business,3772.04,2738068.2,23096.8
2,2018,Jazan,Aseer,Leisure,79401.86,1.736595852E8,435895.2
2,2018,Jazan,Aseer,VFR,16563.38,1.091135808E7,92550.2
2,2018,Jazan,Eastern,Other,681.3,340648.69,2043.89
2,2018,Jazan,Makkah,Business,4626.15,3117551.23,9788.61
2,2018,Jazan,Makkah,Leisure,14432.01,6086282.66,54157.27
2,2018,Jazan,Makkah,Other,2581.23,1223497.57,12670.93
2,2018,Jazan,Makkah,VFR,17867.9,1.362062685E7,128244.59
2,2018,Jazan,Najran,Leisure,1645.04,2056297.01,3290.08
2,2018,Jazan,Riyadh,Business,883.84,1325756.2,17676.75
2,2018,Jazan,Riyadh,Leisure,5303.02,8838374.66,53030.25
2,2018,Jazan,Riyadh,VFR,7070.7,9015142.15,93686.77
2,2018,Jazan,Tabuk,VFR,24983.98,4.871876513E7,288564.99
2,2018,Jouf,Alqassim,Business,543.3,651954.93,1086.59
2,2018,Jouf,Alqassim,VFR,2173.18,760614.09,6519.55
2,2018,Jouf,Jouf,VFR,14992.86,9590168.96,56479.86
2,2018,Jouf,Northern Borders,VFR,1361.28,2277876.38,4083.84
2,2018,Jouf,Riyadh,VFR,883.84,795453.72,6186.86
2,2018,Madinah,Albaha,Leisure,4756.67,1.189166854E7,47566.67
2,2018,Madinah,Albaha,Religious,2378.33,3567500.56,14270.0
2,2018,Madinah,Alqassim,Leisure,4189.58,7541241.61,41895.79
2,2018,Madinah,Alqassim,Religious,15036.54,8086432.9,49593.82
2,2018,Madinah,Aseer,Leisure,10804.26,1.62063914E7,75629.83
2,2018,Madinah,Aseer,Religious,13862.32,1.926444712E7,82459.92
2,2018,Madinah,Aseer,VFR,10804.26,1.62063914E7,43217.04
2,2018,Madinah,Eastern,Business,681.3,1362594.77,1362.59
2,2018,Madinah,Eastern,Other,681.3,204389.22,1362.59
2,2018,Madinah,Eastern,Religious,47407.86,6.884334277E7,275873.25
2,2018,Madinah,Hail,Religious,1078.74,1618103.98,2157.47
2,2018,Madinah,Jouf,Other,437.39,1837019.25,874.77
2,2018,Madinah,Jouf,Religious,1312.16,1093463.84,2624.31
2,2018,Madinah,Jouf,VFR,186.38,298207.88,372.76
